Sample,Rode,Mean,Std
4_LE,1,0.024,0.002
4_LE,2,0.027,0.002
4_LE,3,0.037,0.002
4_LE,4,0.075,0.002
4_LE,5,0.1,0.002
8_LE,1,0.024,0.002
8_LE,2,0.027,0.002
8_LE,3,0.037,0.002
8_LE,4,0.076,0.002
8_LE,5,0.101,0.002
18_LE,1,0.024,0.002
18_LE,2,0.027,0.002
18_LE,3,0.038,0.002
18_LE,4,0.076,0.002
18_LE,5,0.099,0.002
19_LE,1,0.024,0.002
19_LE,2,0.027,0.002
19_LE,3,0.037,0.002
19_LE,4,0.075,0.002
19_LE,5,0.1,0.002
23_LE,1,0.024,0.002
23_LE,2,0.027,0.002
23_LE,3,0.037,0.002
23_LE,4,0.074,0.002
23_LE,5,0.099,0.002
26_LE,1,0.024,0.002
26_LE,2,0.027,0.002
26_LE,3,0.037,0.002
26_LE,4,0.075,0.002
26_LE,5,0.099,0.003
38_LE,1,0.024,0.001
38_LE,2,0.028,0.002
38_LE,3,0.038,0.002
38_LE,4,0.079,0.002
38_LE,5,0.104,0.002
42_LE,1,0.025,0.001
42_LE,2,0.028,0.002
42_LE,3,0.039,0.002
42_LE,4,0.079,0.002
42_LE,5,0.105,0.002
46_LE,1,0.024,0.002
46_LE,2,0.027,0.002
46_LE,3,0.037,0.002
46_LE,4,0.075,0.002
46_LE,5,0.099,0.003
1_LE,1,0.025,0.002
1_LE,2,0.027,0.002
1_LE,3,0.038,0.002
1_LE,4,0.076,0.002
1_LE,5,0.1,0.002
5_LE,1,0.024,0.002
5_LE,2,0.028,0.002
5_LE,3,0.037,0.002
5_LE,4,0.076,0.002
5_LE,5,0.1,0.002
17_LE,1,0.024,0.002
17_LE,2,0.027,0.002
17_LE,3,0.038,0.002
17_LE,4,0.075,0.002
17_LE,5,0.099,0.002
21_LE,1,0.024,0.002
21_LE,2,0.027,0.002
21_LE,3,0.038,0.002
21_LE,4,0.075,0.002
21_LE,5,0.099,0.002
24_LE,1,0.024,0.002
24_LE,2,0.026,0.002
24_LE,3,0.037,0.002
24_LE,4,0.075,0.002
24_LE,5,0.098,0.002
25_LE,1,0.024,0.002
25_LE,2,0.027,0.002
25_LE,3,0.037,0.002
25_LE,4,0.075,0.002
25_LE,5,0.098,0.003
37_LE,1,0.023,0.002
37_LE,2,0.028,0.002
37_LE,3,0.038,0.002
37_LE,4,0.075,0.002
37_LE,5,0.1,0.002
40_LE,1,0.024,0.002
40_LE,2,0.025,0.003
40_LE,3,0.038,0.002
40_LE,4,0.075,0.002
40_LE,5,0.098,0.003
45_LE,1,0.023,0.002
45_LE,2,0.028,0.002
45_LE,3,0.037,0.002
45_LE,4,0.074,0.002
45_LE,5,0.098,0.002
