Sample,VOI,Center_x,Center_y
1,1,940,1068
1,2,971,1004
1,3,1002,985
1,4,1038,942
1,5,1104,865
1,6,1169,882
5,1,837,1165
5,2,931,1154
5,3,998,1124
5,4,1083,1071
5,5,1175,989
5,6,1240,938
17,1,799,1055
17,2,834,956
17,3,750,865
17,4,830,781
17,5,767,679
17,6,875,611
21,1,879,1074
21,2,950,1110
21,3,1045,1162
21,4,1160,1159
21,5,1103,1089
21,6,1024,1072
24,1,849,1193
24,2,991,1162
24,3,877,1023
24,4,994,1048
24,5,926,905
24,6,1007,859
25,1,1058,1255
25,2,1127,1145
25,3,967,1150
25,4,1031,1056
25,5,868,992
25,6,960,928
37,1,820,1252
37,2,888,1222
37,3,946,1174
37,4,1070,1070
37,5,1148,959
37,6,1190,868
40,1,703,1042
40,2,796,1020
40,3,932,983
40,4,1076,967
40,5,1145,943
40,6,1291,944
45,1,815,1199
45,2,931,1145
45,3,877,1022
45,4,1018,994
45,5,1006,839
45,6,1143,829
4,1,903,1059
4,2,945,936
4,3,1008,1002
4,4,1095,948
4,5,1134,1026
4,6,1176,951
8,1,766,1057
8,2,815,966
8,3,872,1070
8,4,963,1033
8,5,1018,1095
8,6,1102,1067
18,1,827,887
18,2,894,964
18,3,994,944
18,4,1035,1016
18,5,1126,1071
18,6,1189,1184
19,1,959,973
19,2,969,859
19,3,843,901
19,4,879,802
19,5,798,795
19,6,674,800
23,1,933,1252
23,2,871,1118
23,3,1004,1127
23,4,915,998
23,5,1036,1078
23,6,1043,968
26,1,822,1222
26,2,875,1131
26,3,936,970
26,4,1054,895
26,5,1107,802
26,6,1204,875
38,1,843,1267
38,2,879,1182
38,3,927,1089
38,4,993,995
38,5,1048,909
38,6,1136,787
42,1,771,1038
42,2,877,966
42,3,919,1070
42,4,1067,988
42,5,1145,1074
42,6,1271,1028
46,1,818,1008
46,2,961,940
46,3,972,1066
46,4,1126,981
46,5,1092,1121
46,6,1220,1093
